Competitor,Title,Link,Snippet
HCLTech,Virgin Media O2 rolls out smart support service,https://www.computerweekly.com/news/366580073/Virgin-Media-O2-rolls-out-smart-support-service,Virgin Media O2 is rolling out a service to boost broadband reliability by proactively tackling issues remotely at no extra cost for customers.
HCLTech,HCLTech Strategic Alliances: Our Partner Ecosystem,https://www.hcltech.com/strategic-alliances,"We partner with leading companies around the world to help our clients achieve excellence in their digital, engineering and cloud journey."
HCLTech,Intradiem Continues Strong UK Growth with Virgin Media and AXA,https://salestechstar.com/intelligent-assistants/intradiem-continues-strong-uk-growth-with-virgin-media-and-axa-launches/,AXA and Virgin Media will leverage Intradiem's AI-powered Intelligent Automation solutions to boost productivity and improve agent engagement within their ...
HCLTech,HCLTech Alliances,https://www.hcltech.com/about-us/alliances,"This partnership is designed to help both Anaplan and HCLTech reach out to prospects, engage with customers, and competitively differentiate the company. The ..."
HCLTech,Virgin Media Partnerships,https://www.partnerbase.com/virgin-media,"Virgin Media has 23 partners, 11 are technology partners and 12 are channel partners. Hewlett Packard Enterprise is its largest partner."
Tech Mahindra,Tech Mahindra and LivePerson to Power AI-Driven ...,https://www.techmahindra.com/insights/press-releases/tech-mahindra-and-liveperson-power-ai-driven-customer-experience-financial/,"The partnership will boost operational efficiency by automating administrative tasks, enabling the workforce to focus on more complex issues."
Tech Mahindra,Tech Mahindra to Underpin New UK Broadband ISP ...,https://www.ispreview.co.uk/index.php/2024/02/tech-mahindra-to-underpin-new-uk-broadband-isp-switching-system.html,"TOTSCo has signed a strategic partnership with Indian firm Tech Mahindra to design, build and operate a message exchange platform for the UK telecom industry."
Tech Mahindra,Nikhil Tharamal's Post,https://www.linkedin.com/posts/nikhiltharamal_diwali-diwalicelebration-teamspirit-activity-7257785969200844800-LqdT,"Tech Mahindra and Virgin Media O2 teams came together for incredible Diwali celebrations! From vibrant decor to traditional music, dance, ..."
Tech Mahindra,Andy Tay's Post,https://www.linkedin.com/posts/andy-tay_virgin-media-o2-partners-with-accenture-to-activity-7198738359760928769-A1m-,"Virgin Media O2 Partners with Accenture to Enhance Private 5G Solutions for UK Businesses, Tapping into Estimated Half a Billion Pound UK Market."
Tech Mahindra,Tech Mahindra & ServiceNow Drive 50% Efficiency for CSPs,https://mobile-magazine.com/news/tech-mahindra-servicenow-drive-50-efficiency-for-csps,"Tech Mahindra partners with ServiceNow to boost broadband rollout. CSPs can achieve up to 50% operational efficiency with AI-led, ..."
Cognizant,Vishal Deshmukh's Post - cognizant #verginmediao2,https://www.linkedin.com/posts/vishaldeshmukhpune_cognizant-verginmediao2-activity-7308550512948252672-ozIA,- ⁠Strategic alignment and improved visibility and accountability. - ⁠Better understanding of local context and challenges. - ⁠Boosted morale.
Cognizant,Aria Ariantalab's Post,https://www.linkedin.com/posts/2aria_great-news-virgin-media-o2-in-partnership-activity-7256631384314638336-f59k,"Virgin Media O2 in partnership with Cognizant has made it to the finalists of The European Software Testing Awards 2024, under the category ..."
Cognizant,du Embarks on Digital Transformation Journey with New ...,https://www.thefastmode.com/technology-solutions/37753-du-embarks-on-digital-transformation-journey-with-cognizant-partnership,Cognizant and du have announced a five-year strategic partnership to accelerate du's digital transformation journey.
Cognizant,S E C T O R 3 O F 5,https://global.cognizant.com/l/297592/2024-04-30/2vfrll,"Before that, he spent over a decade in telecoms with TalkTalk, Virgin Media and Three owner. Hutchison 3G. Executive peers call Rehal “one of ..."
Cognizant,F U L L L I S T - Cognizant,https://global.cognizant.com/l/297592/2024-05-21/2vgfmk,"Through the partnership, Breda says: “We can drive an increase in innovation for unmet healthcare needs, and equality in access to health ..."
Capgemini,talktalk.pdf,https://www.capgemini.com/gb-en/wp-content/uploads/sites/5/2022/05/talktalk.pdf,"currently ranked as the fourth largest after BT, Sky, and Virgin Media. In ... partnership since 2004. Over the past few years Capgemini has ..."
Capgemini,COVID-19 and the connected telco consumer,https://www.capgemini.com/wp-content/uploads/2020/09/COVID-19-and-the-connected-telco-consumer-1.pdf,Virgin Media. (n.d.). 30 day rolling broadband contracts. Retrieved from https://www.virginmedia.com/shop/ · broadband/30-day-rolling. 8. Capgemini Research ...
Capgemini,Praveen Shankar's Post - Capgemini Partnership,https://www.linkedin.com/posts/praveen-shankar-capgemini_ericcson-google-capgemini-partnership-activity-7251486273310199808-BjnZ,"Virgin Media and O2 united to form Virgin Media O2, a significant collaboration. Transitioning thousands of agents across two well ..."
Capgemini,Helping Virgin Media O2 cut down on Single-Use Plastics,https://supplychaindigital.com/sustainability/gxo-virgin-media-o2-sustainability-partnership,"With a partnership spanning more than two decades, GXO began managing Virgin Media O2's end-to-end logistics operation in the UK and Ireland ..."
Capgemini,ISS Extends FM Contract With Capgemini,https://www.twinfm.com/article/iss-extends-fm-contract-with-capgemini,"ISS has extended its existing integrated facility services contract with Capgemini in Europe and North America, for three years."
IBM,Virgin Megastore in Saudi Arabia to Accelerate Digital ...,https://mea.newsroom.ibm.com/VirginMegastoreKSA,"By adopting a secured and open hybrid cloud strategy with IBM, Virgin Megastore KSA can modernize applications and access an innovative ..."
IBM,#virginmoney #ai #ibm #redi #microsoft | Virgin Money,https://www.linkedin.com/posts/virgin-money-uk-plc_virginmoney-ai-ibm-activity-7194654483170115584-ALej,"Our partnership with IBM and Microsoft to develop and launch Redi , our conversational virtual assistant, has opened a whole new world of ..."
IBM,Our Technical Partners,https://www.virginmediabusiness.co.uk/why-virgin/our-technical-partners/,"Thanks to our partners' expertise, we're able to offer comms solutions that include Business Network Services, Leased Lines, Metro Ethernet VPN, and VPLS."
IBM,IBM Introduces New Microsoft Copilot Capabilities to Fuel ...,https://newsroom.ibm.com/2024-05-09-IBM-Introduces-New-Microsoft-Copilot-Capabilities-to-Fuel-AI-Powered-Business-Transformation,"A new offering from IBM Consulting designed to help enterprises create, customize, deploy and manage copilots including Copilot for Microsoft 365."
IBM,IBM: Next chapter of watsonx presented,https://silicon-saxony.de/en/ibm-next-chapter-of-watsonx-presented/,IBM announced several new updates to the watsonx platform – one year after its launch – as well as new data and automation features.
Accenture,Virgin Media O2 Partners with Accenture to Enhance ...,https://newsroom.accenture.com/news/2024/virgin-media-o2-partners-with-accenture-to-enhance-private-5g-solutions-for-uk-businesses-tapping-into-estimated-half-a-billion-pound-uk-market,"Virgin Media O2 Partners with Accenture to Enhance Private 5G Solutions for UK Businesses, Tapping into Estimated Half a Billion Pound UK Market."
Accenture,Virgin Media O2 Partners with Accenture to Enhance ...,https://news.virginmediao2.co.uk/virgin-media-o2-partners-with-accenture-to-enhance-private-5g-solutions-for-uk-businesses-tapping-into-estimated-half-a-billion-pound-uk-market/,Virgin Media O2 and Accenture (NYSE: ACN) have today announced a new collaboration to seize opportunities in the UK's growing mobile private network market.
Accenture,Virgin Media O2 partners with Accenture to enhance ...,https://www.libertyglobal.com/virgin-media-o2-partners-with-accenture-to-enhance-mobile-private-network-solutions-for-uk-businesses/,"Virgin Media O2, in partnership with Liberty Global, launched a new collaboration with Accenture to create innovative, adaptable connectivity solutions for UK ..."
Accenture,Accenture: Delivering Telco Excellence as Partner to VMO2,https://technologymagazine.com/articles/accenture-delivering-telco-excellence-as-partner-to-vmo2,Accenture's Derek Melvin and Velissarios Lataris share how the leading consultancy supports UK telco giant Virgin Media O2's success.
Accenture,Virgin Media O2 and Accenture Collaborate on Private 5G ...,https://www.telecomrevieweurope.com/articles/telecom-operators/virgin-media-o2-and-accenture-collaborate-on-private-5g-solutions-for-uk-enterprises/,Virgin Media O2 (VMO2) has teamed up with Accenture to focus on private 5G opportunities for UK enterprises.
DXC Technology,Partner Ecosystem,https://dxc.com/us/en/about-us/partner-ecosystem,Our partner ecosystem gives DXC the ability to quickly expand our offerings and capabilities across the entire IT estate.
DXC Technology,DXC's Oceania SMB practices sold to Fujifilm MicroChannel,https://www.linkedin.com/posts/crn-australia_dxcs-oceania-smb-practices-sold-to-fujifilm-activity-7247509956432683009-3uB9,"FUJIFILM MicroChannel Services has acquired the small to mid-sized business practices of DXC Technology ... Virgin Media O2, and Vodafone Ziggo."
DXC Technology,Sabre Selects DXC Technology to Help Transform the ...,https://www.sabre.com/insights/releases/sabre-selects-dxc-technology-to-help-transform-the-future-of-travel-as-part-of-a-multi-year-renewal-of-the-companies-agreement/,"DXC will help Sabre accelerate its transformation journey to meet the evolving demands of its airline, hospitality and travel agency customers in more than 160 ..."
DXC Technology,Sleman Bakir - Cloud Engineer - DXC Technology,https://uk.linkedin.com/in/sleman-bakir-3b8934224,Experience ; Cloud Engineer. DXC Technology. Sep 2024 ; Central hub Analyst. Virgin Media O2. Apr 2024 ; Customer Advisor. Three UK. Oct 2018 ; Operations Analyst.
DXC Technology,DXC Technology and Accelya partner to accelerate airline ...,https://www.zawya.com/en/press-release/companies-news/dxc-technology-and-accelya-partner-to-accelerate-airline-innovation-and-enhance-the-traveller-experience-qdqt0nox,"Partnership will enable Accelya to accelerate modernization and provide a comprehensive, cloud-based FLX ONE (OOSD) retailing platform."
NTT Data,Information discovery acceleration: a moonshot realized,https://uk.nttdata.com/podcasts/Information-discovery-acceleration-a-moonshot-realized.pdf,"Our partnership with NTT DATA demonstrates how generative AI and knowledge graphs together deliver transformative results, driving productivity and innovation ..."
NTT Data,NTT DATA UK Becomes Gold Sponsor of Women in Cable ...,https://www.businesswire.com/news/home/20210803005113/en/NTT-DATA-UK-Becomes-Gold-Sponsor-of-Women-in-Cable-Telecommunications-WICT-UK-Association,"For the past two years, NTT DATA has been involved with the UK chapter of WICT following its work with Virgin Media, who introduced NTT DATA to the group."
NTT Data,NTT DATA Ireland,https://uk.nttdata.com/ireland,Virgin Media. Virgin Media needed a trusted partner to deliver a reusable SAFe implementation and execution playbook in Ireland. Drawing on our local team ...
NTT Data,Augmented Software Architecture: A Moonshot Realised,https://uk.nttdata.com/insights/blog/augmented-software-architecture-a-moonshot-realised,"... Virgin Media O2 - (VMO2) ... A huge part of this success comes down to the fantastic collaboration with NTT Data, alongside Neo4J and AWS."
NTT Data,Harald De Wilde's Post,https://www.linkedin.com/posts/haralddewilde_cisco-and-ntt-data-partner-to-empower-global-activity-7266845416233525248-V-U0,Cisco and NTT DATA Partner to Empower Global Mobile Workforce with Simplified Access to 5G Connectivity ... Virgin Media O2 has enhanced ...
Google,Virgin Media and O2 migrate to Google Cloud,https://cloud.google.com/blog/topics/telecommunications/virgin-media-and-o2-migrate-to-google-cloud,Virgin Media and O2 migrated to Google Cloud to transform from a traditional telecommunications business to the 21st-century tech company.
Google,Virgin Media Ireland Case Study,https://cloud.google.com/customers/virgin-media-ireland,"The start of 2022 marked a three-way collaboration between Google Cloud, Prodapt, and Virgin Media Ireland that led to an efficient, effective migration within ..."
Google,New Way Now: Virgin Media O2 puts data at the heart of UK ...,https://www.youtube.com/watch?v=GkBDgwj2t84,New Way Now: Virgin Media O2 puts data at the heart of UK connectivity with Google Cloud. 661 views · 3 weeks ago ...more. Google Cloud. 259K.
Google,VMTV Partners With Google to Launch Pause Ads,https://www.adworld.ie/2021/09/17/vmtv-partners-with-google-to-launch-pause-ads/,Virgin Media has also undertaken a full scale ad migration to Google Ad Manager 360 “in order to maximise the value of its commercial breaks”.
Google,Virgin Media partners with Google to enhance email service,https://www.campaignlive.co.uk/article/virgin-media-partners-google-enhance-email-service/898505,The partnership allows Virgin Media customers to use Google's communication applications with an @virginmedia.com email address. Users will ...
